ID,pH Tanah,N Total (%),P Tersedia (ppm),K Tersedia (meq/100g),C Organik (%),KTK (meq/100g),Kejenuhan Basa (%),Tekstur Tanah,Kadar Air (%),Bulk Density (g/cm³),Label
30,6.07,0.45,44.44,0.616,3.08,23.03,64.05,Lempung,41.12,1.028,Subur
31,6.06,0.238,37.22,0.696,3.94,33.66,82.23,Lempung Berliat,30.67,0.914,Subur
32,6.31,0.439,49.16,0.35,4.38,44.14,82.65,Lempung,31.07,0.987,Subur
33,6.59,,29.47,0.72,2.72,40.55,63.14,,30.74,0.918,Subur
34,6.51,0.317,,0.454,2.62,39.45,92.08,Lempung Berpasir,37.57,0.9,Subur
35,4.62,0.199,8.55,0.116,,14.38,37.28,Liat,9.92,1.653,Tidak Subur
36,7.17,0.354,27.16,0.527,3.26,27.24,93.64,Lempung Berpasir,38.47,1.035,Subur
37,8.82,0.083,,,1.4,12.74,35.64,Liat,65.61,1.699,Tidak Subur
38,4.49,0.122,,0.178,1.51,9.88,25.7,Liat,18.83,1.771,Tidak Subur
39,3.61,0.035,1.31,0.251,0.75,6.08,48.14,Liat,5.85,1.45,Tidak Subur
40,6.25,0.409,54.55,0.469,2.49,41.57,76.01,Lempung,33.26,1.131,Subur
41,6.34,0.4,59.28,0.666,4.38,42.82,92.09,Lempung,30.67,1.018,Subur
42,8.19,0.014,7.75,0.059,0.98,17.06,23.1,Pasir,64.88,1.531,Tidak Subur
43,6.58,0.35,55.93,0.358,2.19,44.17,66.96,Lempung Berliat,44.57,1.09,Subur
44,6.36,0.25,43.12,0.464,4.9,21.38,76.41,Lempung Berpasir,34.41,1.141,Subur
45,8.9,0.029,8.56,0.279,1.51,7.16,58.83,Debu,68.05,1.441,Tidak Subur
46,6.81,0.397,29.48,0.405,3.63,24.35,68.61,Lempung,42.57,1.048,Subur
47,7.23,0.365,34.76,,2.07,28.07,96.61,Lempung,36.92,1.083,Subur
48,6.36,0.498,52.61,0.502,4.07,31.28,80.4,Lempung,26.99,0.989,Subur
49,7.16,0.296,49.05,0.653,2.97,33.82,97.97,Lempung,33.71,1.166,Subur
50,8.65,0.016,12.26,0.105,,14.53,19.86,Liat,73.62,1.745,Tidak Subur
51,8.93,0.181,1.7,0.144,0.3,17.76,25.5,Liat,64.11,1.572,Tidak Subur
52,7.45,0.219,52.41,0.506,2.36,41.61,91.9,Lempung Berliat,36.82,1.035,Subur
53,4.88,0.043,,0.238,1.71,12.93,51.49,Debu,7.36,,Tidak Subur
54,6.98,0.257,15.81,0.39,3.63,28.16,76.04,Lempung,25.32,0.919,Subur
55,6.57,0.253,28.68,0.463,3.64,24.11,79.32,Lempung,44.73,0.909,Subur
56,8.69,0.093,8.58,0.069,1.21,14.98,54.35,Pasir,61.58,1.587,Tidak Subur
57,4.01,0.046,2.18,0.224,,7.18,36.59,Liat,9.36,1.897,Tidak Subur
58,8.96,0.098,,0.277,0.42,16.93,43.48,Pasir,72.24,1.723,Tidak Subur
59,4.24,0.161,,,1.69,15.85,32.03,Liat,5.57,1.852,Tidak Subur
60,6.96,0.271,33.99,0.436,3.81,25.68,78.63,Lempung,27.65,,Subur
61,3.75,0.092,5.29,0.13,1.67,5.97,28.52,Pasir,11.5,1.57,Tidak Subur
62,7.45,0.26,20.02,0.701,4.04,37.81,82.21,Lempung,35.67,1.052,Subur
63,8.01,0.062,12.18,0.122,0.79,16.8,49.92,Liat,67.48,1.662,Tidak Subur
64,3.93,0.133,8.14,0.146,1.12,9.8,56.36,Debu,6.67,,Tidak Subur
65,7.66,0.043,1.08,0.118,1.51,9.48,23.78,Debu,57.81,1.795,Tidak Subur
66,8.84,0.165,12.49,0.159,1.88,15.83,42.46,Pasir,67.6,1.435,Tidak Subur
67,6.65,0.354,,0.525,3.8,43.31,78.83,Lempung,43.85,0.988,Subur
68,8.06,0.172,3.05,0.229,0.38,17.52,40.64,Pasir,73.02,1.9,Tidak Subur
69,6.24,0.275,24.09,0.421,3.5,41.63,75.05,Lempung Berliat,,1.058,Subur
70,5.28,,1.83,0.214,,6.08,35.01,Liat,9.59,1.489,Tidak Subur
71,5.22,0.086,11.62,0.091,1.85,12.01,48.46,Pasir,5.94,1.596,Tidak Subur
72,7.32,0.285,34.39,0.43,3.7,20.23,69.87,Lempung Berpasir,42.05,1.013,Subur
73,4.92,0.058,5.68,0.092,1.1,10.98,33.64,Debu,14.05,1.698,Tidak Subur
74,4.5,0.198,10.74,0.06,0.58,11.6,51.21,Liat,6.97,,Tidak Subur
75,7.19,0.442,28.07,0.395,,29.57,77.98,Lempung Berpasir,42.09,0.981,Subur
76,7.43,0.493,52.07,0.691,4.43,21.37,63.26,Lempung,26.3,0.955,Subur
77,8.86,0.019,3.62,0.195,1.71,15.24,54.26,Debu,64.73,1.805,Tidak Subur
78,6.6,0.388,23.86,0.532,4.72,40.49,92.2,Lempung Berliat,39.64,0.963,Subur
79,6.29,0.262,30.44,0.395,2.49,39.3,80.15,Lempung,37.37,1.137,Subur
80,8.2,0.069,7.66,,1.09,7.69,50.05,Pasir,57.12,1.803,Tidak Subur
81,7.48,0.293,29.86,0.638,4.54,20.3,69.55,Lempung,36.41,0.94,Subur
82,6.71,0.344,16.75,0.575,4.81,20.22,71.01,Lempung,26.29,1.068,Subur
83,3.97,0.12,1.84,0.072,0.9,15.12,31.16,Pasir,,1.898,Tidak Subur
84,8.31,0.117,7.9,0.146,0.89,16.27,26.47,Pasir,74.88,1.648,Tidak Subur
85,7.7,0.118,10.54,0.06,0.52,14.55,25.51,Pasir,69.13,1.433,Tidak Subur
86,4.86,0.144,,0.163,0.86,12.12,49.97,Pasir,18.58,,Tidak Subur
87,8.67,,9.76,0.268,0.89,6.85,12.23,Pasir,72.48,1.831,Tidak Subur
88,7.45,0.441,20.62,0.544,3.78,39.16,81.13,Lempung Berliat,38.07,0.984,Subur
89,6.51,0.414,31.28,0.392,4.2,32.13,82.51,Lempung,44.52,1.183,Subur
90,8.79,0.087,3.65,0.204,1.25,16.49,27.57,Liat,65.15,1.817,Tidak Subur
91,7.75,0.174,9.88,0.095,,17.86,41.35,Pasir,57.22,1.747,Tidak Subur
92,8.49,0.03,4.98,0.101,1.79,8.04,36.12,Liat,65.07,,Tidak Subur
93,6.82,0.334,,0.38,2.32,43.69,79.86,Lempung,28.48,1.173,Subur
94,6.32,0.24,16.65,0.337,2.45,35.15,63.33,Lempung,37.89,1.14,Subur
95,8.32,0.146,2.48,0.111,0.91,15.5,36.43,Pasir,71.73,1.702,Tidak Subur
96,7.96,0.185,6.43,0.288,,6.79,51.09,Liat,,1.886,Tidak Subur
97,6.81,0.298,31.59,,4.15,36.88,94.6,Lempung,33.26,0.949,Subur
98,4.4,0.129,3.76,0.056,1.72,11.49,23.73,Debu,9.79,1.682,Tidak Subur
99,8.63,0.138,,0.089,0.28,10.1,39.99,Debu,69.67,1.716,Tidak Subur
100,8.12,0.117,11.63,0.265,1.05,9.58,25.43,Liat,73.44,1.777,Tidak Subur
101,6.44,0.467,48.39,0.664,2.98,44.61,75.17,Lempung Berpasir,35.28,0.937,Subur
102,6.89,0.249,32.84,0.326,,32.47,63.34,Lempung,34.53,1.146,Subur
103,6.18,0.462,54.98,0.593,4.39,37.9,83.63,Lempung Berpasir,27.61,1.149,Subur
104,4.19,0.187,1.65,0.255,1.69,7.62,38.82,Pasir,14.72,1.42,Tidak Subur
105,6.27,0.264,,0.578,2.99,29.21,95.76,Lempung,28.05,1.107,Subur
106,6.33,0.374,23.38,0.416,4.47,32.2,70.62,Lempung,29.29,1.066,Subur
107,6.28,0.345,50.5,0.636,4.57,22.55,64.53,Lempung Berliat,44.92,1.033,Subur
108,7.4,0.268,38.29,0.646,4.99,21.72,84.78,Lempung,30.04,0.973,Subur
109,7.2,0.399,15.17,0.372,2.19,36.77,90.56,Lempung,43.22,0.974,Subur
110,6.93,0.489,18.99,,3.2,35.65,79.79,Lempung,32.96,1,Subur
111,7.27,0.438,27.36,0.751,3.21,38.03,94.8,Lempung Berpasir,30.26,1.002,Subur
112,4.56,,5.77,0.231,0.54,9.98,26.9,Liat,19.44,1.741,Tidak Subur
113,3.77,0.142,5.65,0.204,0.46,5.28,53.88,Liat,18.22,1.565,Tidak Subur
114,8.08,0.132,5.67,0.216,1.77,18.43,56.82,Pasir,63.67,1.706,Tidak Subur
115,7.18,0.369,,0.715,4.97,27.76,71.47,Lempung,34.84,,Subur
116,6.94,,56.25,,3.72,26.52,61.11,Lempung Berliat,38.26,1.073,Subur
117,4.14,0.079,11.36,0.236,0.72,12.85,10.85,Pasir,5.63,,Tidak Subur
118,6.32,0.36,,0.655,4.12,41.25,76.53,Lempung Berliat,26.59,0.918,Subur
119,6.99,0.337,42.57,0.754,3.24,27.19,61.5,Lempung,42.05,1.163,Subur
120,7.89,0.16,6.87,0.086,1.65,7.94,37.03,Pasir,67.65,1.579,Tidak Subur
121,8.31,0.065,3.54,0.108,0.42,8.83,13.88,Liat,67.36,1.736,Tidak Subur
122,5.2,0.126,4.1,0.179,0.69,10.37,28.71,Pasir,11.98,1.753,Tidak Subur
123,4.47,0.111,,0.268,0.62,10.87,49.14,Debu,,1.414,Tidak Subur
124,6.7,0.385,38.01,0.63,4.21,31.86,98.64,Lempung Berliat,28.72,1.094,Subur
125,7.16,0.361,21.42,0.463,2.14,34.58,87.74,,39.31,1.118,Subur
126,8.93,0.107,8.87,0.19,1.09,14.01,58.6,Debu,,1.705,Tidak Subur
127,7.44,0.5,42.93,0.39,4.03,26.67,92.46,Lempung,44.91,1.144,Subur
128,6.98,0.213,37.81,0.758,3.03,34.15,68.27,Lempung,39.5,1.167,Subur
129,5.19,0.128,,0.187,1.58,8.4,40.77,Liat,8.6,1.536,Tidak Subur
130,7.44,0.418,20.54,0.462,2.24,35.28,74.27,,33.95,1.059,Subur
131,8.11,0.105,13.72,0.273,1.54,13.23,50.67,Liat,65.84,,Tidak Subur
132,7.99,0.129,1.98,0.262,1.46,12.49,51.8,Pasir,56.8,,Tidak Subur
133,6.35,,43.01,0.303,2.7,24.09,79.08,,35.33,0.98,Subur
134,7.3,0.366,59.9,0.52,,27.32,93.66,Lempung,37.7,1.185,Subur
135,6.86,0.312,57.47,0.709,4.73,26.79,68.78,,34.62,0.939,Subur
136,3.99,0.184,7.31,0.265,1.08,18.43,35.34,,17.79,1.881,Tidak Subur
137,8.24,0.099,3.19,0.052,1.38,7.49,14.88,Liat,60.55,1.445,Tidak Subur
138,8.18,,8.75,0.14,1.58,6.83,57.36,Debu,63.78,1.616,Tidak Subur
139,8.12,0.027,2.78,0.081,,11.94,13.91,Debu,69.87,1.7,Tidak Subur
140,8.87,0.096,4.34,0.103,0.91,15.45,41.92,Liat,61.7,1.899,Tidak Subur
141,3.6,0.191,5.08,0.203,0.94,5.17,21.94,Liat,8.2,1.569,Tidak Subur
142,6.77,0.417,18.92,0.486,3.43,31.92,75.05,Lempung Berliat,,0.976,Subur
143,7.6,0.119,11.87,0.157,0.45,12.62,40.75,Liat,67.22,1.638,Tidak Subur
144,6.79,0.261,57.77,0.487,2.21,20.19,98.31,Lempung,,1.18,Subur
145,8.79,0.011,10.42,0.104,1.87,12.21,35.67,,69.99,1.584,Tidak Subur
146,7.22,0.3,45.46,,2.81,33.64,82.18,Lempung,43.19,0.923,Subur
147,6.65,,49.54,0.315,3.15,23.15,69.57,Lempung Berpasir,32.43,1.056,Subur
148,3.66,0.062,11.7,0.095,0.34,13.98,45.25,Debu,9.59,1.463,Tidak Subur
149,6.74,0.219,53.35,0.329,4.73,30.27,66.98,Lempung Berpasir,36.81,1.036,Subur
150,7.21,0.468,51.16,0.435,2.88,27.95,62.08,Lempung Berliat,30.8,1.167,Subur
151,8.27,0.186,11.87,0.12,0.85,14.91,33.6,Debu,61.62,1.744,Tidak Subur
152,6.9,0.336,56.98,0.417,4.54,40.64,60.8,Lempung,36.54,1.032,Subur
153,6.42,,27.17,0.723,4.63,26.08,74.85,Lempung Berpasir,26.95,1.182,Subur
154,4.69,0.132,7.3,0.121,0.33,12.33,37.63,Debu,14.9,1.757,Tidak Subur
155,6.48,0.443,42.77,0.334,3.89,29.73,74.69,Lempung,31.75,1.12,Subur
156,6.48,0.232,55.06,0.608,2.05,29.42,64.09,Lempung Berpasir,26.27,1.066,Subur
157,7.31,0.276,18.25,0.372,3.38,40.87,90.44,Lempung Berpasir,33.11,,Subur
158,7.85,0.182,,,1.55,16.47,46.69,Pasir,72.04,1.699,Tidak Subur
159,6.49,0.354,35.22,0.73,4.3,37.54,63.46,Lempung,29.43,0.94,Subur
160,8.4,0.197,6.25,0.173,1.1,11.45,41.77,Pasir,72.01,1.522,Tidak Subur
161,6.26,0.32,44.02,0.419,,41.27,73.83,Lempung Berpasir,43.94,1.037,Subur
162,6.75,0.445,32.9,0.53,,39.91,96.16,Lempung,43.87,0.936,Subur
163,6.12,0.255,59.26,0.607,3.73,44.16,97.75,Lempung,40.41,1.115,Subur
164,5.24,0.073,5.47,0.127,1.04,9.18,30.64,Debu,15.23,1.801,Tidak Subur
165,8.79,0.184,13.98,0.134,0.86,5.83,54.67,Debu,72.02,1.651,Tidak Subur
166,3.81,0.138,,0.208,1.88,16.59,21,,,1.826,Tidak Subur
167,7.85,0.034,8.41,0.095,1.78,10.51,48.68,Liat,59.38,1.784,Tidak Subur
168,4.4,,12.12,,1.65,11.63,24.84,Pasir,5.31,1.669,Tidak Subur
169,7.04,,51.22,,,25.47,64.93,Lempung,,1.183,Subur
170,8.09,0.02,,0.192,1.87,13.62,21.79,Debu,61.76,1.45,Tidak Subur
171,3.54,0.152,5.54,0.207,1.33,12.97,50.68,Pasir,18.08,1.476,Tidak Subur
172,7.3,,38.21,0.496,3.89,24.4,81.1,Lempung,27.88,0.999,Subur
173,7.84,0.199,6.78,,1.17,18.28,56.96,Debu,74.42,1.661,Tidak Subur
174,8.51,0.028,3.5,0.161,,18.18,11.82,Debu,73.96,1.48,Tidak Subur
175,7.43,,21.32,0.365,2.01,26.84,74.09,Lempung,44.61,1.101,Subur
176,3.88,0.19,3.61,0.208,1.88,8.18,54.39,Liat,8.85,1.512,Tidak Subur
177,6.38,0.344,59.15,0.305,3.67,34.9,80.13,Lempung Berliat,31.18,1.109,Subur
178,4.33,0.191,11.56,0.155,,16.67,35.59,Liat,17.82,1.725,Tidak Subur
179,6.04,0.423,50.12,0.321,2.9,30.39,94.24,Lempung Berpasir,43.49,1.08,Subur
180,8.78,0.024,4.71,0.05,0.83,15.84,29.38,Liat,74.13,1.746,Tidak Subur
181,4.18,0.165,9.73,0.151,1.56,9.99,18.65,Pasir,5.64,1.423,Tidak Subur
182,7.36,0.47,25.89,0.352,3.13,42.74,94.99,Lempung,34.44,1.131,Subur
183,7.88,0.154,6.55,0.207,0.23,5.91,35.57,Debu,59.48,1.579,Tidak Subur
184,3.88,0.103,4.81,0.133,1.43,7.83,40.96,Pasir,,1.671,Tidak Subur
185,7.39,0.264,22.28,0.474,,44.53,77.05,Lempung Berliat,40.36,1.088,Subur
186,6.71,0.436,30.66,0.653,2.77,31.32,88.36,Lempung,38.28,0.977,Subur
187,8.52,0.029,12.81,0.069,1.8,13.52,13.45,Pasir,62.79,1.687,Tidak Subur
188,8.39,0.067,11.32,0.067,1.87,10.27,11.21,Debu,74.22,1.635,Tidak Subur
189,4.7,0.125,8.71,0.251,0.91,18.71,37.41,Pasir,10.52,1.756,Tidak Subur
190,4.54,0.09,7.31,0.106,1.12,5.67,56.32,Pasir,12.29,1.482,Tidak Subur
191,6.27,0.276,,0.393,4.73,23.13,74.64,Lempung Berpasir,42.22,0.951,Subur
192,7.21,0.412,19.69,0.427,3.95,24.82,74,Lempung,31.85,0.993,Subur
193,5.2,0.064,6.93,0.157,1.61,18.19,52.78,Pasir,10.68,1.834,Tidak Subur
194,6.75,0.277,17.17,0.604,3.67,30.48,96.45,Lempung,,0.937,Subur
195,6.28,0.216,18.68,,2.6,32.98,97.45,Lempung,27.77,1.055,Subur
196,7.12,0.241,43.05,0.618,4.99,21.7,97.95,Lempung Berliat,30.41,1.121,Subur
197,3.92,0.03,12.02,0.202,0.7,17.36,26.09,Debu,14.34,1.544,Tidak Subur
198,6.29,0.283,37.77,0.338,,39.06,73.08,Lempung,27.49,1.044,Subur
199,6.36,0.252,35.88,0.417,3.56,34.84,92.13,Lempung Berpasir,25.24,1.154,Subur
200,8.16,0.148,2.75,0.179,0.41,9.3,28.77,Pasir,,1.405,Tidak Subur
201,8.42,0.073,5.83,0.204,0.85,14.12,10.78,Debu,68.98,1.578,Tidak Subur
202,6.62,0.293,24.48,0.787,4.25,35.97,60.99,Lempung Berpasir,33.88,1.167,Subur
203,6.34,,53.51,0.38,3.6,20.86,93.46,Lempung Berpasir,30.97,0.923,Subur
204,7.41,0.251,55.44,0.472,,22.62,90.89,Lempung Berpasir,31.27,1.131,Subur
205,6.95,0.364,37.75,0.692,3.23,21.23,67.97,Lempung,27.67,1.04,Subur
206,6.04,0.347,23.34,,4.3,36.53,86.03,Lempung Berliat,40.85,0.93,Subur
207,5.03,0.2,4.8,0.11,0.35,13.59,23.96,Liat,11.54,1.469,Tidak Subur
208,4.99,0.118,2.37,0.229,1.83,16.69,57.54,Debu,19.4,1.886,Tidak Subur
209,3.94,,9.41,0.284,1.01,8.36,23.8,Pasir,19.97,1.624,Tidak Subur
210,6.55,0.492,17.35,0.466,4.48,37.98,63.97,Lempung Berpasir,33.21,,Subur
211,8.42,0.059,9.16,,0.98,13.85,35.84,Pasir,67.52,1.597,Tidak Subur
212,6.54,0.331,35.67,0.612,,28.2,82.91,,28.4,1.018,Subur
213,6.89,0.233,23.82,0.402,4.41,38.01,78.09,Lempung Berliat,35.21,0.966,Subur
214,6.79,0.297,50.48,0.714,4.08,43.45,65.43,Lempung Berpasir,35.4,1.186,Subur
215,6.08,0.335,58.92,0.639,2.22,28.86,89.82,Lempung Berpasir,41.57,0.965,Subur
216,8.59,0.056,1.03,0.191,1.2,10.22,38.66,,64.85,1.671,Tidak Subur
217,4.73,0.181,8.9,0.051,0.3,8.83,41.4,Liat,18.24,1.425,Tidak Subur
218,6.11,,47.58,0.394,3.62,33.33,96.83,Lempung,28.95,0.923,Subur
219,6.44,,,0.456,3.25,28.84,75.42,Lempung,40.51,1.079,Subur
220,5.34,0.157,2.47,0.212,0.37,7.65,31.57,Liat,14.9,1.898,Tidak Subur
221,6.21,0.378,41.58,,3.27,21.97,72.82,Lempung Berliat,32.87,1.147,Subur
222,7.09,0.492,35.72,0.771,,38.46,69.74,Lempung,,1.122,Subur
223,6.39,0.369,44.15,0.546,3.94,30.98,82.76,Lempung Berpasir,26.23,0.966,Subur
224,3.57,0.117,2.48,0.207,1.4,15.79,20.08,Debu,10.5,1.552,Tidak Subur
225,8.77,0.041,1.72,0.092,0.61,15.01,28.27,Pasir,56.42,1.546,Tidak Subur
226,8.21,0.084,9.55,0.198,,10.69,18.17,Debu,59.38,1.799,Tidak Subur
227,6.15,0.403,27.98,0.521,4.77,21.6,80.61,Lempung,42.25,0.987,Subur
228,6.05,0.227,56.18,0.346,3.89,31.23,74.1,Lempung,,1.073,Subur
229,8.14,0.179,4.78,0.192,1.01,15.21,52.7,Pasir,70.74,1.667,Tidak Subur
230,6.51,0.308,55.05,0.75,4.84,37.95,99.63,Lempung,40.76,1.013,Subur
231,7.64,0.028,3.21,0.153,0.82,8.53,52.9,Debu,55.68,1.579,Tidak Subur
232,6.99,0.486,,0.557,2.92,27.5,91.94,Lempung Berliat,42.43,0.928,Subur
233,8.68,,10.79,0.184,0.26,16.38,30.74,Liat,,1.614,Tidak Subur
234,4.62,0.086,8.05,0.073,0.96,5.37,16.01,Liat,6.74,1.857,Tidak Subur
235,8.61,0.137,8.06,0.113,0.96,14.04,34.22,Pasir,72.73,1.676,Tidak Subur
236,6.6,0.425,57.38,0.537,3.76,44.02,76.71,Lempung Berpasir,44.36,0.917,Subur
237,5.2,0.099,,0.098,0.23,14.16,46.54,Debu,16.57,1.709,Tidak Subur
238,6.15,0.421,51.49,0.615,,40.02,65.98,Lempung,31.22,0.955,Subur
239,4.6,0.085,9.53,0.266,0.42,5.17,13.92,Debu,,1.415,Tidak Subur
240,6.83,0.448,51.37,0.59,2.46,43.57,83.43,Lempung Berpasir,37.96,1.12,Subur
241,6.75,0.213,21.34,0.328,4.98,44.79,94.47,Lempung,26.08,,Subur
242,8.46,0.033,6.54,0.26,1.22,9.2,32.08,Debu,74.26,1.686,Tidak Subur
243,6.68,0.263,48.9,0.637,2.24,33.2,78.4,Lempung,34.42,0.91,Subur
244,7.23,0.488,,0.557,4.9,31.17,69.24,Lempung,37.76,1.153,Subur
245,3.6,0.16,11.76,0.063,1.06,17.88,30.24,Liat,6.72,1.898,Tidak Subur
246,7.31,0.378,21.84,0.739,3.02,35.77,88.1,Lempung Berliat,30.61,1.043,Subur
247,6.68,0.295,16.31,0.411,3.51,33.37,76.2,Lempung,30.24,,Subur
248,7.88,0.089,1.74,0.233,1.63,7.42,22.69,Liat,73.08,1.806,Tidak Subur
249,6.68,,36.46,0.325,2.74,35.74,73.35,Lempung,25.81,1.196,Subur
250,5.36,0.031,8.99,0.123,0.59,18.91,40.81,Liat,10.45,1.812,Tidak Subur
251,4.41,0.02,,0.052,1.54,7.6,57.75,Debu,18.14,1.78,Tidak Subur
252,7.46,0.463,32.87,0.475,2.24,33.39,77.73,,29.02,0.942,Subur
253,5.35,0.062,,0.099,1.39,11.52,41.63,Debu,6.15,1.862,Tidak Subur
254,6.78,,,0.501,3.73,27.6,65.07,Lempung,44.12,0.932,Subur
255,4.12,0.111,7.06,0.216,0.37,14.93,45.02,,15.3,1.462,Tidak Subur
256,4.02,0.111,12.38,0.2,1.28,12.32,18.63,Pasir,17.69,1.722,Tidak Subur
257,6.77,0.38,33.23,0.457,3.5,44.39,82.48,,32.86,1.021,Subur
258,7.21,0.372,52.92,0.698,2.91,33.76,80.07,Lempung Berliat,25.3,1.117,Subur
259,7.9,0.18,12.36,0.079,0.47,17.47,27.74,Debu,66.56,1.714,Tidak Subur
260,3.58,,5.83,0.28,0.56,9.17,48.33,Pasir,16.82,1.841,Tidak Subur
261,6.54,0.273,59.32,0.377,4.31,32.09,82.07,Lempung Berpasir,32.39,1.117,Subur
262,8.51,,,0.083,1.12,15.58,42.56,Pasir,66.27,1.451,Tidak Subur
263,6.1,0.277,35.88,0.675,2.24,34.11,91.56,Lempung Berpasir,29.91,1.009,Subur
264,7.73,0.106,10.37,0.242,0.61,14.16,28.75,Debu,72.89,1.776,Tidak Subur
265,5.2,0.148,8.07,0.074,0.62,17.86,30.47,Debu,8.8,1.567,Tidak Subur
266,7.73,0.175,,0.194,1,16.17,46.6,Liat,57.34,1.473,Tidak Subur
267,7.28,0.378,56.1,0.512,3.8,44.89,80.73,Lempung,25.99,,Subur
268,6.8,0.426,52.87,0.551,3.14,31.71,74.89,Lempung Berpasir,34.62,1.011,Subur
269,7.35,0.304,16.89,0.729,4.89,37.94,86.01,Lempung,32.55,1.043,Subur
270,4.28,0.162,10.84,0.189,1.2,17.46,47.12,Pasir,15.63,1.872,Tidak Subur
271,3.5,0.056,8.91,0.126,,16.8,10.82,Debu,9.84,1.57,Tidak Subur
272,7.81,0.177,6.54,0.281,0.93,12.63,36.17,Debu,55.44,1.769,Tidak Subur
273,6.53,0.404,37.15,0.406,,28.34,65.23,Lempung,44.56,1.039,Subur
274,8.95,0.032,5.03,0.159,0.99,11.49,33.68,Liat,74.19,1.493,Tidak Subur
275,7.83,0.096,4.08,0.223,1.52,10.06,43.58,Debu,,1.443,Tidak Subur
276,8.28,0.069,11.71,0.274,1.69,13.03,46.26,Liat,67.99,1.745,Tidak Subur
277,6.06,0.465,,0.586,3.02,21.92,94.78,Lempung,33.36,1.11,Subur
278,6.93,0.352,59.28,0.678,3.43,36.92,95.27,Lempung,26.28,1.11,Subur
279,3.52,0.066,3.69,0.09,1.47,7.67,18.12,Pasir,7.22,1.891,Tidak Subur
280,6.97,0.4,,0.659,4.07,25.71,74.93,Lempung Berliat,30.9,1.154,Subur
281,8.81,0.141,6.88,0.136,0.42,5.55,40.47,Debu,63.23,1.535,Tidak Subur
282,4.2,0.016,4.18,0.189,0.78,13.94,13.35,Liat,,1.541,Tidak Subur
283,7.07,0.429,,0.675,,38.92,76.48,,,0.947,Subur
284,4.85,0.154,8.46,0.089,1.2,9.51,39.39,Debu,8.27,1.406,Tidak Subur
285,5.06,0.048,8.66,0.101,1.3,11.7,40.92,Liat,7.81,1.76,Tidak Subur
286,6.49,0.392,39.54,0.776,4.98,28.68,93.28,Lempung Berliat,36.04,0.96,Subur
287,6.93,0.395,19.86,,3.3,30.71,88.98,Lempung,25.57,1.183,Subur
288,8.38,0.173,3.06,0.149,,6.09,46.33,,71.5,1.564,Tidak Subur
